market_segment,Sample_Size,Mean,Std
Aviation,226,100.61362831858408,19.883457493300952
Complementary,692,3.0933092485549136,14.523468632920775
Corporate,4200,68.24465476190475,31.946616866596393
Direct,11779,114.78562441633416,54.97839704436224
Groups,4921,74.84457020930705,36.209524861622704
Offline TA/TO,13855,81.44133273186576,35.804229071738774
Online TA,51552,117.24344516216635,46.509959596117895
