market_segment,Sample_Size,Median,Mean,Std
Aviation,226,95.0,100.61362831858408,19.883457493300952
Complementary,692,0.0,3.0933092485549136,14.523468632920775
Corporate,4200,65.0,68.24465476190475,31.946616866596393
Direct,11779,107.0,114.78562441633416,54.97839704436224
Groups,4921,68.0,74.84457020930705,36.209524861622704
Offline TA/TO,13855,79.2,81.44133273186576,35.804229071738774
Online TA,51552,110.71,117.24344516216635,46.509959596117895
