Sample Size,Population Mean,Mean of Sample Means,Standard Error
10,105.52456921754086,104.851699,15.174749306459695
30,105.52456921754086,106.068632,8.711063875690144
50,105.52456921754086,104.8300562,7.175119819182224
100,105.52456921754086,105.4773451,4.639169882943607
