,Aviation,Complementary,Corporate,Direct,Groups,Offline TA/TO,Online TA
Aviation,1.0,4.203611041295267e-110,6.421838023392203e-38,1.0,1.8148758026184065e-26,2.467205901117369e-16,0.03302705521568087
Complementary,4.203611041295267e-110,1.0,2.621172917145765e-88,0.0,3.6308777724574736e-126,1.589756984918655e-188,0.0
Corporate,6.421838023392203e-38,2.621172917145765e-88,1.0,0.0,1.1120913008206404e-11,5.71141583703705e-73,0.0
Direct,1.0,0.0,0.0,1.0,0.0,0.0,2.2972747155673972e-23
Groups,1.8148758026184065e-26,3.6308777724574736e-126,1.1120913008206404e-11,0.0,1.0,3.423546592643469e-23,0.0
Offline TA/TO,2.467205901117369e-16,1.589756984918655e-188,5.71141583703705e-73,0.0,3.423546592643469e-23,1.0,0.0
Online TA,0.03302705521568087,0.0,0.0,2.2972747155673972e-23,0.0,0.0,1.0
