Model,Accuracy,Precision,Recall,F1,ROC-AUC,PR-AUC
Threshold 0.30,0.6330731014904187,0.41477949940405245,0.93048128342246,0.5737840065952184,0.8432444651114728,0.6479405222150922
Threshold 0.35,0.6685592618878637,0.43889618922470436,0.893048128342246,0.5885462555066079,0.8432444651114728,0.6479405222150922
Threshold 0.40,0.6962384669978708,0.46098265895953755,0.8529411764705882,0.5984990619136961,0.8432444651114728,0.6479405222150922
Threshold 0.45,0.7295954577714692,0.4943639291465378,0.820855614973262,0.6170854271356784,0.8432444651114728,0.6479405222150922
Threshold 0.50,0.7572746628814763,0.5291970802919708,0.7754010695187166,0.6290672451193059,0.8432444651114728,0.6479405222150922
Threshold 0.55,0.772888573456352,0.5544354838709677,0.7352941176470589,0.632183908045977,0.8432444651114728,0.6479405222150922
Threshold 0.60,0.78708303761533,0.583710407239819,0.6898395721925134,0.6323529411764706,0.8432444651114728,0.6479405222150922
