Model,Accuracy,Precision,Recall,F1,ROC-AUC,PR-AUC
Logistic Regression,0.7991483321504613,0.6563573883161512,0.5106951871657754,0.5744360902255639,0.8433620088351547,0.6397360323542194
Weighted Logistic Regression,0.7388218594748048,0.5051724137931034,0.7834224598930482,0.6142557651991615,0.8432380066651165,0.6397852509367605
Random Forest,0.7814052519517388,0.6050955414012739,0.5080213903743316,0.5523255813953488,0.8223178072282933,0.611617645793824
Weighted Random Forest,0.7693399574166075,0.5573770491803278,0.6363636363636364,0.5942571785268415,0.8200483091787439,0.6053390680381793
XGBoost,0.7991483321504613,0.6531986531986532,0.5187165775401069,0.5782414307004471,0.8441266888837221,0.6502828402694363
Weighted XGBoost,0.7537260468417317,0.5244122965641953,0.7754010695187166,0.6256742179072277,0.8414606422279057,0.6477890579036993
