Model,Accuracy,Precision,Recall,F1,ROC-AUC,PR-AUC
Tuned RF + Feature Selection,0.7551454932576295,0.5259391771019678,0.786096256684492,0.6302250803858521,0.8433775091064093,0.6508046712032068
Tuned Random Forest,0.7572746628814763,0.5291970802919708,0.7754010695187166,0.6290672451193059,0.8432444651114728,0.6479405222150922
Weighted XGBoost,0.7537260468417317,0.5244122965641953,0.7754010695187166,0.6256742179072277,0.8414606422279057,0.6477890579036993
Weighted Random Forest,0.7693399574166075,0.5573770491803278,0.6363636363636364,0.5942571785268415,0.8200483091787439,0.6053390680381793
XGBoost,0.7991483321504613,0.6531986531986532,0.5187165775401069,0.5782414307004471,0.8441266888837221,0.6502828402694363
Tuned XGBoost,0.8034066713981547,0.6979591836734694,0.4572192513368984,0.5525040387722132,0.8451858740861299,0.6547729361511107
Random Forest,0.7814052519517388,0.6050955414012739,0.5080213903743316,0.5523255813953488,0.8223178072282933,0.611617645793824
