Model,Accuracy,Precision,Recall,F1,ROC_AUC,PR_AUC,Training_Time,Prediction_Time
Decision Tree,0.7366926898509581,0.5038759689922481,0.5213903743315508,0.5124835742444153,0.6677103515978197,0.3897565343123942,0.11559844017028809,0.020409822463989258
XGBoost,0.7991483321504613,0.6531986531986532,0.5187165775401069,0.5782414307004471,0.8441266888837221,0.6502828402694363,0.8038914203643799,0.07668399810791016
KNN,0.7764371894960965,0.5896656534954408,0.5187165775401069,0.5519203413940256,0.7883554212198713,0.5326091808324512,0.026685714721679688,0.15173101425170898
Logistic Regression,0.7991483321504613,0.6563573883161512,0.5106951871657754,0.5744360902255639,0.8433620088351547,0.6397360323542194,0.4035682678222656,0.030066251754760742
Random Forest,0.7814052519517388,0.6050955414012739,0.5080213903743316,0.5523255813953488,0.8223178072282933,0.611617645793824,2.434657335281372,0.29420971870422363
Gradient Boosting,0.801277501774308,0.6666666666666666,0.5026737967914439,0.573170731707317,0.842478493373634,0.651428743215179,2.405731201171875,0.032486677169799805
