Model,Accuracy,Precision,Recall,F1
TF-IDF + Logistic Regression,0.2089728453364817,0.20924628885286597,0.2089728453364817,0.20899181255123134
TF-IDF + Naive Bayes,0.21074380165289255,0.21038541330235538,0.21074380165289255,0.21025436910964299
