iter	Passed	Remaining
892	2518	301
893	2521	299
894	2525	296
895	2527	293
896	2530	290
897	2532	287
898	2535	284
899	2538	282
900	2541	279
901	2544	276
902	2546	273
903	2549	270
904	2551	267
905	2554	265
906	2557	262
907	2561	259
908	2563	256
909	2566	253
910	2569	251
911	2571	248
912	2574	245
913	2577	242
914	2580	239
915	2583	236
916	2586	234
917	2588	231
918	2591	228
919	2594	225
920	2596	222
921	2600	219
922	2603	217
923	2605	214
924	2608	211
925	2611	208
926	2613	205
927	2616	203
928	2620	200
929	2622	197
930	2625	194
931	2628	191
932	2631	188
933	2634	186
934	2637	183
935	2640	180
936	2643	177
937	2645	174
938	2648	172
939	2651	169
940	2653	166
941	2657	163
942	2660	160
943	2662	157
944	2664	155
945	2667	152
946	2670	149
947	2673	146
948	2684	144
949	2687	141
950	2689	138
951	2692	135
952	2695	132
953	2698	130
954	2700	127
955	2703	124
956	2705	121
957	2708	118
958	2710	115
959	2713	113
960	2716	110
961	2719	107
962	2721	104
963	2724	101
964	2726	98
965	2729	96
966	2731	93
967	2735	90
968	2737	87
969	2740	84
970	2743	81
971	2745	79
972	2748	76
973	2750	73
974	2754	70
975	2757	67
976	2760	64
977	2763	62
978	2765	59
979	2768	56
980	2770	53
981	2773	50
982	2776	48
983	2778	45
984	2781	42
985	2783	39
986	2786	36
987	2789	33
988	2792	31
989	2795	28
990	2798	25
991	2800	22
992	2803	19
993	2805	16
994	2808	14
995	2812	11
996	2815	8
997	2817	5
998	2820	2
999	2822	0
