iter	RMSE
643	8054.759861
644	8040.078362
645	8024.442285
646	8012.658414
647	8005.503411
648	7997.187868
649	7985.604758
650	7975.026532
651	7962.744765
652	7952.062318
653	7948.50578
654	7942.169177
655	7933.346297
656	7923.408136
657	7913.086306
658	7905.252705
659	7896.222975
660	7884.34047
661	7879.886906
662	7873.896385
663	7867.257642
664	7858.541873
665	7850.01527
666	7838.303706
667	7824.769227
668	7808.367937
669	7802.250451
670	7792.958385
671	7778.685214
672	7769.548321
673	7759.7981
674	7750.146068
675	7743.422713
676	7736.990671
677	7727.8287
678	7717.932604
679	7708.89878
680	7695.120405
681	7683.489889
682	7678.760859
683	7665.737235
684	7656.20915
685	7635.008073
686	7628.435905
687	7616.753088
688	7603.18053
689	7594.616517
690	7584.047736
691	7579.698072
692	7579.03938
693	7567.213881
694	7559.634808
695	7550.955402
696	7540.517913
697	7539.539104
698	7528.927093
699	7521.545164
700	7511.066486
701	7501.961361
702	7490.75639
703	7482.129548
704	7469.919478
705	7457.621647
706	7448.375663
707	7438.893869
708	7422.424941
709	7421.270466
710	7408.322545
711	7398.557696
712	7388.221859
713	7381.444028
714	7373.062502
715	7369.432871
716	7355.505218
717	7344.662963
718	7344.024348
719	7328.189234
720	7318.587562
721	7309.648514
722	7299.701872
723	7291.775762
724	7277.252208
725	7266.929252
726	7263.757375
727	7253.874924
728	7253.129248
729	7252.536625
730	7245.160887
731	7239.048003
732	7233.949639
733	7219.877099
734	7212.771202
735	7210.488103
736	7202.419661
737	7200.190378
738	7188.715425
739	7181.533279
740	7180.809152
741	7173.307158
742	7163.436905
743	7155.835566
744	7142.069844
745	7134.445176
746	7130.099861
747	7124.210233
748	7121.417058
749	7118.689694
750	7108.302911
751	7098.207946
752	7096.305653
753	7079.915963
754	7072.794933
755	7057.049789
756	7056.376255
757	7047.921451
758	7047.379522
759	7035.777196
760	7032.195242
761	7018.270935
762	7015.112261
763	7009.463808
764	7000.85625
765	6992.206221
766	6988.270361
767	6981.804187
768	6971.489465
769	6964.916621
770	6952.079806
771	6949.060709
772	6941.857814
773	6938.339546
774	6929.958221
775	6920.124449
776	6908.650173
777	6908.08833
778	6895.906124
779	6885.744457
780	6873.65589
781	6873.069864
782	6859.658425
783	6856.389875
784	6845.309383
785	6837.860848
786	6828.01007
787	6822.424485
788	6815.777785
789	6815.253872
790	6806.233798
791	6796.802752
792	6796.035507
793	6792.002775
794	6786.875169
795	6786.08335
796	6777.466317
797	6772.440985
798	6765.540559
799	6758.098884
800	6754.402696
801	6746.456444
802	6742.037089
803	6741.342872
804	6732.006571
805	6727.281103
806	6717.792826
807	6707.658359
808	6704.01609
809	6690.426944
810	6683.252985
811	6682.576337
812	6673.833087
813	6661.881723
814	6653.122925
815	6642.895519
816	6628.222373
817	6627.586747
818	6617.263081
819	6610.223924
820	6604.717276
821	6593.960095
822	6583.866454
823	6579.031879
824	6568.340742
825	6562.75665
826	6562.15503
827	6554.888995
828	6546.529531
829	6541.860114
830	6537.091188
831	6526.6565
832	6521.015411
833	6515.322619
834	6510.519047
835	6500.588452
836	6492.187975
837	6487.783201
838	6478.968598
839	6469.565204
840	6457.54155
841	6454.883645
842	6446.06019
843	6437.618552
844	6431.66376
845	6427.601324
846	6418.458516
847	6404.98161
848	6403.765034
849	6396.146203
850	6386.114927
851	6376.513635
852	6364.430593
853	6351.659287
854	6348.727558
855	6336.260931
856	6335.825669
857	6331.646645
858	6331.084685
859	6323.106729
860	6316.096928
861	6309.316528
862	6302.858919
863	6293.542414
864	6289.361
865	6280.100205
866	6270.111656
867	6260.790246
868	6252.311433
869	6242.150408
870	6234.411232
871	6229.600113
872	6222.432311
873	6218.486754
874	6209.013224
875	6202.17341
876	6200.147412
877	6192.532904
878	6185.596402
879	6179.273865
880	6170.791357
881	6170.360882
882	6158.937813
883	6150.718214
884	6147.465012
885	6139.051518
886	6130.65884
887	6121.179897
888	6113.56659
889	6110.510228
890	6101.387227
891	6098.733318
892	6089.454174
893	6085.444057
894	6076.830921
895	6069.265643
896	6064.960489
897	6055.566138
898	6046.203912
899	6039.95331
900	6031.885681
901	6028.239317
902	6026.188926
903	6020.969568
904	6014.283957
905	6006.020177
906	6000.221015
907	5991.322248
908	5988.624223
909	5983.546645
910	5981.979686
911	5975.505279
912	5972.621107
913	5965.417364
914	5956.647981
915	5948.404426
916	5940.97457
917	5929.939384
918	5923.151058
919	5914.854989
920	5909.379617
921	5901.735235
922	5895.05525
923	5884.582218
924	5874.270008
925	5872.025421
926	5866.12427
927	5857.123162
928	5856.139645
929	5851.183252
930	5846.83301
931	5839.926207
932	5829.553711
933	5820.094868
934	5812.170871
935	5805.225847
936	5797.725191
937	5790.350857
938	5782.595503
939	5775.294562
940	5768.319969
941	5760.630634
942	5753.66775
943	5745.441559
944	5738.527011
945	5727.941574
946	5719.118808
947	5714.042097
948	5707.131399
949	5700.790017
950	5688.062401
951	5680.349966
952	5665.804724
953	5658.881583
954	5654.52469
955	5646.431196
956	5642.037517
957	5635.065834
958	5626.333945
959	5617.139159
960	5609.265569
961	5599.524583
962	5597.075188
963	5595.008621
964	5591.880189
965	5585.06621
966	5578.46487
967	5570.472988
968	5566.799445
969	5557.236428
970	5550.653366
971	5543.921744
972	5536.439237
973	5531.592278
974	5526.438689
975	5521.751094
976	5509.37539
977	5503.216444
978	5498.450642
979	5490.586338
980	5481.506282
981	5474.204551
982	5469.982571
983	5464.006593
984	5463.668967
985	5459.363657
986	5451.460158
987	5444.441134
988	5431.732324
989	5427.127873
990	5420.314071
991	5409.40979
992	5404.523626
993	5398.124807
994	5389.507314
995	5386.771992
996	5380.850029
997	5374.474081
998	5367.94324
999	5361.087814
